"FID_DeerRa","COUNTY_NAM","Shape_Leng","Shape_Area","FID_dmu_19","UNIT_ID","DMUArea","AREA_SQM"
1,"Adams",3460444.06127,1300741778.31,74,"57C",1139.39368842,1.0714543828
1,"Adams",3460444.06127,1300741778.31,81,"53",1640.73778259,197.664921527
1,"Adams",3460444.06127,1300741778.31,90,"54A",1649.17074422,232.563853763
1,"Adams",3460444.06127,1300741778.31,94,"54B",1559.8047034,0.371959142979
1,"Adams",3460444.06127,1300741778.31,96,"54C",369.123232287,69.0591407287
1,"Adams",3460444.06127,1300741778.31,98,"70E",266.272344056,1.48787883148
2,"Ashland",3296207.87517,2595041129.74,0,"79",156.169996523,53.8487405694
2,"Ashland",3296207.87517,2595041129.74,2,"78",59.8158253627,22.2331803948
2,"Ashland",3296207.87517,2595041129.74,5,"7",734.792896743,232.763509416
2,"Ashland",3296207.87517,2595041129.74,6,"6",1139.04062896,233.302156283
2,"Ashland",3296207.87517,2595041129.74,9,"28",1655.30029938,199.01244345
2,"Ashland",3296207.87517,2595041129.74,12,"13",2104.51452509,33.1555754407
2,"Ashland",3296207.87517,2595041129.74,15,"29A",709.484827938,39.7925833028
2,"Ashland",3296207.87517,2595041129.74,16,"14",884.553046983,187.277296128
3,"Barron",7454324.425,1374707806.59,30,"17",740.779868186,8.66416776078
3,"Barron",7454324.425,1374707806.59,32,"15",1313.74466971,76.3201754152
3,"Barron",7454324.425,1374707806.59,34,"16",1274.72348162,27.6171515741
3,"Barron",7454324.425,1374707806.59,37,"22",1650.25675104,313.074620386
3,"Barron",7454324.425,1374707806.59,46,"23",1348.68736074,50.3982494264
3,"Barron",7454324.425,1374707806.59,53,"22A",1307.10896819,54.7032869955
4,"Bayfield",4438110.03157,3653560559.33,0,"79",156.169996523,5.15475523986
4,"Bayfield",4438110.03157,3653560559.33,1,"3",1492.11847387,554.46499352
4,"Bayfield",4438110.03157,3653560559.33,3,"2",1437.67489752,180.745301344
4,"Bayfield",4438110.03157,3653560559.33,6,"6",1139.04062896,160.154292614
4,"Bayfield",4438110.03157,3653560559.33,7,"5",643.887140423,226.44300106
4,"Bayfield",4438110.03157,3653560559.33,11,"9",1199.53687631,149.223824046
4,"Bayfield",4438110.03157,3653560559.33,12,"13",2104.51452509,134.162602441
5,"Brown",2336438.22904,294715331.076,52,"80",2137.64614009,3.65435205633
5,"Brown",2336438.22904,294715331.076,67,"63B",2207.50260528,51.1301904474
5,"Brown",2336438.22904,294715331.076,80,"64",3059.89018818,58.675364869
6,"Buffalo",5695342.48166,1450045154.51,62,"59B",2946.50526518,5.96405949184
6,"Buffalo",5695342.48166,1450045154.51,73,"61",3467.52755443,547.585311869
6,"Buffalo",5695342.48166,1450045154.51,87,"61B",19.395867739,1.16414783553
6,"Buffalo",5695342.48166,1450045154.51,121,"61C",16.1497544547,5.14808680744
7,"Burnett",4049341.22307,1974778197.74,13,"8",1030.4053157,101.250808498
7,"Burnett",4049341.22307,1974778197.74,18,"11",1013.75261095,200.578471238
7,"Burnett",4049341.22307,1974778197.74,21,"10",1002.44037255,278.041189525
7,"Burnett",4049341.22307,1974778197.74,32,"15",1313.74466971,120.228111614
7,"Burnett",4049341.22307,1974778197.74,34,"16",1274.72348162,62.361404903
8,"Calumet",1276602.85896,177572197.146,67,"63B",2207.50260528,0.940654316478
8,"Calumet",1276602.85896,177572197.146,80,"64",3059.89018818,57.1630640139
8,"Calumet",1276602.85896,177572197.146,83,"W",534.17182822,0.0846805208559
8,"Calumet",1276602.85896,177572197.146,93,"69",3597.13278594,10.3726097764
9,"Chippewa",7886917.55977,1724383618.6,43,"24",881.9786563,70.1677664351
9,"Chippewa",7886917.55977,1724383618.6,46,"23",1348.68736074,173.203532938
9,"Chippewa",7886917.55977,1724383618.6,53,"22A",1307.10896819,43.8900013953
9,"Chippewa",7886917.55977,1724383618.6,57,"59A",2186.80471766,272.360442678
9,"Chippewa",7886917.55977,1724383618.6,62,"59B",2946.50526518,69.8043742589
9,"Chippewa",7886917.55977,1724383618.6,65,"58",1768.64937476,36.3621196761
10,"Clark",7400022.9875,1936691874.9,57,"59A",2186.80471766,12.1595027582
10,"Clark",7400022.9875,1936691874.9,59,"27",1269.20931277,145.035882071
10,"Clark",7400022.9875,1936691874.9,65,"58",1768.64937476,289.980790362
