"FID_DeerRa","COUNTY_NAM","Shape_Leng","Shape_Area","FID_dmu_19","UNIT_ID","DMUArea","AREA_SQM"
6,"Buffalo",5695342.48166,1450045154.51,75,"61",3283.64475955,552.733398677
6,"Buffalo",5695342.48166,1450045154.51,89,"61B",19.395867739,1.16414783553
12,"Crawford",4323581.91309,1178814390.46,99,"74A",828.377981851,0.00176846941451
12,"Crawford",4323581.91309,1178814390.46,103,"71",2311.26693772,57.7091301414
12,"Crawford",4323581.91309,1178814390.46,107,"74B",1553.92140415,397.421498408
12,"Crawford",4323581.91309,1178814390.46,116,"73",1012.36119778,0.0103837192707
22,"Grant",7330495.82404,1417197915.3,103,"71",2311.26693772,1.05224288776
22,"Grant",7330495.82404,1417197915.3,107,"74B",1553.92140415,0.858937321016
22,"Grant",7330495.82404,1417197915.3,115,"73C",657.874199921,40.3231900507
22,"Grant",7330495.82404,1417197915.3,116,"73",1012.36119778,258.335524208
22,"Grant",7330495.82404,1417197915.3,121,"73A",17.1597773214,5.65346029252
22,"Grant",7330495.82404,1417197915.3,123,"73B",1823.59996337,238.693036111
27,"Jackson",5655543.20064,2142628047.74,77,"59C",2211.31684174,358.461996373
27,"Jackson",5655543.20064,2142628047.74,78,"55",1753.38664049,432.454759872
27,"Jackson",5655543.20064,2142628047.74,81,"56",954.930937222,4.00698663386
27,"Jackson",5655543.20064,2142628047.74,86,"72",1953.57034978,16.4015539161
27,"Jackson",5655543.20064,2142628047.74,87,"MCC",241.746596521,0.00723455027857
27,"Jackson",5655543.20064,2142628047.74,88,"59D",1485.78774066,9.44846853469
32,"La Crosse",3322902.69147,828893532.641,75,"61",3283.64475955,0.0118143817801
32,"La Crosse",3322902.69147,828893532.641,77,"59C",2211.31684174,0.0245274133444
32,"La Crosse",3322902.69147,828893532.641,88,"59D",1485.78774066,270.60420041
32,"La Crosse",3322902.69147,828893532.641,98,"59M",162.0967498,43.4659957615
32,"La Crosse",3322902.69147,828893532.641,99,"74A",828.377981851,5.93104422938
42,"Monroe",6734264.34182,1677921915.52,77,"59C",2211.31684174,30.6072211501
42,"Monroe",6734264.34182,1677921915.52,78,"55",1753.38664049,20.3957576423
42,"Monroe",6734264.34182,1677921915.52,81,"56",954.930937222,64.6736441194
42,"Monroe",6734264.34182,1677921915.52,86,"72",1953.57034978,328.778266284
42,"Monroe",6734264.34182,1677921915.52,87,"MCC",241.746596521,74.5701456272
42,"Monroe",6734264.34182,1677921915.52,88,"59D",1485.78774066,74.4696373935
47,"Pepin",1944404.45707,427481267.544,75,"61",3283.64475955,96.1721390735
53,"Richland",4712524.51269,1074686387.88,103,"71",2311.26693772,408.266540126
62,"Trempealeau",5289141.95847,1402558198.6,75,"61",3283.64475955,282.009112478
62,"Trempealeau",5289141.95847,1402558198.6,77,"59C",2211.31684174,234.067057217
62,"Trempealeau",5289141.95847,1402558198.6,88,"59D",1485.78774066,4.17271458857
62,"Trempealeau",5289141.95847,1402558198.6,89,"61B",19.395867739,2.90925753414
62,"Trempealeau",5289141.95847,1402558198.6,93,"61A",7.06780989455,2.35660515709
63,"Vernon",5654107.88684,1361968298.82,86,"72",1953.57034978,162.298372117
63,"Vernon",5654107.88684,1361968298.82,88,"59D",1485.78774066,25.2501434466
63,"Vernon",5654107.88684,1361968298.82,98,"59M",162.0967498,0.0613464962451
63,"Vernon",5654107.88684,1361968298.82,99,"74A",828.377981851,194.136624471
63,"Vernon",5654107.88684,1361968298.82,103,"71",2311.26693772,110.443045072
63,"Vernon",5654107.88684,1361968298.82,107,"74B",1553.92140415,33.2861484835
5,"Brown",2336438.22904,294715331.076,82,"64",3059.89018818,58.675364869
8,"Calumet",1276602.85896,177572197.146,82,"64",3059.89018818,57.1630640139
8,"Calumet",1276602.85896,177572197.146,85,"W",534.17182822,0.0846805208558
8,"Calumet",1276602.85896,177572197.146,95,"69A",2287.89615546,10.3726097764
11,"Columbia",5205603.56722,961401294.363,90,"67A",1247.28445156,43.798224408
11,"Columbia",5205603.56722,961401294.363,91,"67B",798.616288463,21.1080886488
11,"Columbia",5205603.56722,961401294.363,94,"68A",1476.11798461,0.000639461549219
11,"Columbia",5205603.56722,961401294.363,102,"70E",266.272344056,55.3684915645
11,"Columbia",5205603.56722,961401294.363,104,"68B",1610.81053652,0.737237158803
11,"Columbia",5205603.56722,961401294.363,105,"70B",1000.4761196,128.052323663
11,"Columbia",5205603.56722,961401294.363,106,"70G",918.645928371,120.330127193
11,"Columbia",5205603.56722,961401294.363,110,"76A",2412.79764717,0.00386311203651
11,"Columbia",5205603.56722,961401294.363,113,"76",1884.11947481,0.0114000157453
13,"Dane",7672068.87601,1110436976.41,105,"70B",1000.4761196,0.036306232472
13,"Dane",7672068.87601,1110436976.41,106,"70G",918.645928371,0.0120365561782
13,"Dane",7672068.87601,1110436976.41,110,"76A",2412.79764717,25.1131607628
13,"Dane",7672068.87601,1110436976.41,113,"76",1884.11947481,214.472079421
13,"Dane",7672068.87601,1110436976.41,117,"76M",712.884886658,78.2528499699
13,"Dane",7672068.87601,1110436976.41,125,"77A",1923.11837472,0.0227262710047
14,"Dodge",6231246.19328,706440860.039,94,"68A",1476.11798461,0.675382540327
14,"Dodge",6231246.19328,706440860.039,95,"69A",2287.89615546,8.3777639429
14,"Dodge",6231246.19328,706440860.039,104,"68B",1610.81053652,172.01992098
14,"Dodge",6231246.19328,706440860.039,106,"70G",918.645928371,1.41187086249
14,"Dodge",6231246.19328,706440860.039,110,"76A",2412.79764717,74.0604440888
14,"Dodge",6231246.19328,706440860.039,112,"77C",2026.77892491,16.2129584612
20,"Fond du Lac",4028073.67362,555225933.561,84,"66",1547.06390509,3.39774730825
20,"Fond du Lac",4028073.67362,555225933.561,85,"W",534.17182822,0.194831369507
20,"Fond du Lac",4028073.67362,555225933.561,94,"68A",1476.11798461,90.2005794976
20,"Fond du Lac",4028073.67362,555225933.561,95,"69A",2287.89615546,120.552848893
20,"Fond du Lac",4028073.67362,555225933.561,104,"68B",1610.81053652,0.0279241281055
23,"Green",4210861.5439,465816991.01,113,"76",1884.11947481,6.22286032103
23,"Green",4210861.5439,465816991.01,125,"77A",1923.11837472,0.0176934260826
24,"Green Lake",2457695.77764,463844185.776,84,"66",1547.06390509,6.64605514996
24,"Green Lake",2457695.77764,463844185.776,90,"67A",1247.28445156,25.9115851738
24,"Green Lake",2457695.77764,463844185.776,91,"67B",798.616288463,118.160060494
24,"Green Lake",2457695.77764,463844185.776,94,"68A",1476.11798461,28.1542507705
24,"Green Lake",2457695.77764,463844185.776,101,"W",20.7532140145,0.219289790068
