16240,17528,17171,17973,19493,22430,23209,23893,22818,19832,20581,20118,19871,19935,21095,20714,20787,19905,18093,17676,17704,15937,16474,17074,17886,18363,19020,19347,18806,18839
15971,17442,17676,17972,18936,22628,23697,23474,22446,20382,20820,19587,19763,20349,21111,20414,20750,20159,18309,17420,17205,16176,17208,16903,17127,18453,19542,19291,18686,18916
16117,17343,17057,18227,20034,22564,22537,23205,23116,20754,20882,19490,19239,20032,21559,20881,20732,19971,17979,17139,17532,16690,17130,16591,17021,18336,19611,19657,18702,18684
16601,17208,16738,18344,20022,22325,22773,23604,22926,20361,20848,19636,19428,20207,21437,20588,20647,20053,18187,17448,17405,16120,17074,17099,17132,18133,19683,19567,18345,18872
16567,16922,16615,18417,20174,22388,22672,23526,22967,20369,20844,19721,19409,20037,21474,20838,20632,19735,18095,17774,17693,15903,16580,17084,17724,18418,19173,19107,18629,19325
16793,16898,16528,18298,20109,22576,22782,23345,22998,20567,20545,19388,19915,20603,20991,20082,20839,20497,18264,17199,17245,16227,17115,16919,17247,18564,19558,18927,18317,19475
16539,17376,16983,18166,19658,22417,23050,23567,22919,20481,20576,19320,19811,20674,21144,20159,20775,20263,18146,17481,17478,15983,16943,17174,17245,18166,19660,19521,18320,18816
16684,17125,16816,18286,19719,22162,22997,24053,23119,19923,20243,19729,20056,20455,21195,20374,20479,19846,18364,18068,17675,15522,16284,17191,18065,18641,19082,18830,18468,19359
16309,16901,16823,18233,19897,22757,23069,23160,22582,20587,20996,19604,19575,20220,21163,20508,20770,20074,18325,17681,17196,15617,17035,17615,17572,17945,19005,19305,18930,19357
16745,17223,16508,18106,20208,22731,22714,23150,22866,20773,20962,19281,19308,20536,21569,20279,20480,20299,18370,17310,17284,16165,17067,17064,17254,18242,19552,19387,18360,19021
16403,16803,16817,18621,20139,22245,22460,23492,23376,20580,20336,19419,19942,20358,20970,20495,21016,20140,17959,17315,17491,16318,17073,16837,17149,18460,19574,19175,18543,19306
16152,16832,16957,18683,20041,22049,22512,23798,23411,20285,20213,19561,20075,20409,20925,20363,20968,20169,17984,17508,17652,15941,16651,17252,17747,18141,18984,19360,18976,19215
16677,17569,16983,18079,19754,22389,22735,23545,23299,20630,20422,19210,19625,20490,21447,20678,20746,19714,17704,17607,18197,16501,16376,16235,17364,19031,19921,19108,17998,18780
16374,17773,17108,17655,19593,22840,23013,23329,23038,20549,20485,19381,19749,20503,21378,20420,20502,19993,18259,17608,17642,16126,16551,16776,17700,18627,19289,19256,18564,18728
16173,17201,17151,18231,19844,22623,22620,23058,23283,21078,20537,19002,19528,20471,21505,20792,20599,19564,18076,17875,17655,16014,16817,16872,17318,18499,19507,19272,18635,19012
16643,17789,16777,17704,19961,22800,22687,23354,23254,20488,20391,19525,19754,20276,21436,20696,20363,19691,18515,17954,17267,15705,16983,17263,17302,18155,19602,19608,18310,18558
16872,17525,16840,18038,19680,22359,22987,23730,23049,20390,20548,19303,19558,20635,21624,20430,20378,19809,18132,17814,17950,16093,16311,16580,17628,18942,19715,18973,17972,18944
